Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SENIOR CLOUD SECURITY OPERATIONS ENGINEER - REMOTE,REVVITY,"GUELPH, ON",118613.0,150190.0,2023-10-04,2023-11-15
EMPLOYMENT COUNSELLOR/JOB DEVELOPER,2ND CHANCE EMPLOYMENT COUNSELLING,"FERGUS, ON",,,2023-10-04,2023-10-04
SOFTWARE DEVELOPER LICENSING TEAM,MAGNET FORENSICS,"WATERLOO, ON",89397.0,113197.0,2023-10-04,2023-10-11
RF DEVELOPER,SONOVA,"KITCHENER, ON",63991.0,81027.0,2023-10-04,2023-10-04
SENIOR SOLUTION ARCHITECT (HYBRID CLOUD),BMO FINANCIAL GROUP,VARIOUS LOCATIONS,99502.0,125992.0,2023-10-04,2023-10-11
"LEAD DEVELOPER/TEAM LEAD - MS STACK (DYNAMICS, POWER PLATFORM)",MAYK IDEAS,"KITCHENER, ON",80581.0,102034.0,2023-10-04,2023-10-18
MASTER DATA MANAGEMENT - DATA/PROCESS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",86934.0,110077.0,2023-10-04,2023-11-22
FPGA DEVELOPER,CHRISTIE DIGITAL SYSTEMS INC.,"KITCHENER, ON",82333.0,104252.0,2023-10-04,2023-11-01
UNREAL ENGINE C++ DEVELOPER II - SDK,MAWARI,"WATERLOO, ON",95624.0,121082.0,2023-10-04,2023-11-22
SOFTWARE DEVELOPER,MAGNET FORENSICS,"WATERLOO, ON",74485.0,94315.0,2023-10-04,2023-10-11
SENIOR DEV SEC OPS SPECIALIST,BLACKBERRY,"WATERLOO, ON",94278.0,119377.0,2023-10-04,2023-11-22
SENIOR SOFTWARE DEVELOPER,MAGNET FORENSICS,"WATERLOO, ON",92563.0,117205.0,2023-10-04,2023-10-25
CNC PROGRAMMER,AVERSAN,"WATERLOO, ON",70211.0,88903.0,2023-10-04,2023-11-01
COMPUTER PROGRAMMING - SUBJECT MATTER EXPERT (SME),ROBERTSON COLLEGE,VARIOUS LOCATIONS,72580.0,91903.0,2023-10-04,2023-11-01
CNC PROGRAMMER,CHERVIN,"ST. CLEMENTS, ON",43003.0,54452.0,2023-10-04,2023-11-22
2024 RESEARCH SCIENTIST AT PERIMETER INSTITUTE (CHORD RADIO TELESCOPE),PERIMETER INSTITUTE FOR THEORETICAL PHYSICS,"WATERLOO, ON",,,2023-10-04,2023-11-01
SR. PRINCIPAL SOFTWARE ARCHITECT,OPEN TEXT CORPORATION,"WATERLOO, ON",111782.0,141540.0,2023-10-04,2023-11-01
CUSTOMER SUPPORT REPRESENTATIVE,OPENTEXT,"WATERLOO, ON",39388.0,49875.0,2023-10-04,2023-10-11
"SR. DIRECTOR, IT PMO",OPENTEXT,"WATERLOO, ON",108651.0,137576.0,2023-10-04,2023-11-08
STAFF SOFTWARE DEVELOPER (FLEET MANAGER),CLEARPATH INC.,"KITCHENER, ON",110029.0,139321.0,2023-10-04,2023-10-11
LEAD SOFTWARE ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-11-15
SENIOR PERCEPTION DEVELOPER - CALIBRATION AND SENSORS,CLEARPATH INC.,"KITCHENER, ON",99139.0,125532.0,2023-10-04,2023-10-11
ELECTRICAL DESIGN & PLC PROGRAMMER (AUTOMATION EXP),BARRIE WELDING & MACHINE,VARIOUS LOCATIONS,56885.0,72030.0,2023-10-04,2023-11-01
PRINCIPAL SECURITY COMPLIANCE ANALYST - COMPLIANCE STRATEGY,OPEN TEXT CORPORATION,"WATERLOO, ON",76187.0,96470.0,2023-10-04,2023-11-22
