Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
SENIOR CLOUD SOFTWARE DEVELOPER,SIEMENS,"KITCHENER, ON",99267.0,125694.0,2023-10-04,2023-11-22
CUSTOMER SUPPORT REPRESENTATIVE,OPEN TEXT CORPORATION,"WATERLOO, ON",39388.0,49875.0,2023-10-04,2023-10-11
"SOFTWARE ENGINEERING MANAGER II, SECURITY/PRIVACY, GOOGLE CLOUD BUSINESS PLATFORMS",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-04
SOFTWARE ENGINEER SENIOR,ALTAIR ENGINEERING,"WATERLOO, ON",119628.0,151476.0,2023-10-04,2023-11-22
SENIOR DEVOPS DEVELOPER,CLEARPATH INC.,"KITCHENER, ON",106499.0,134851.0,2023-10-04,2023-10-11
SOFTWARE DEVELOPER (PROGRAMMER/ANALYST),TELEDYNE E2V SEMICONDUCTORS,"WATERLOO, ON",63567.0,80490.0,2023-10-04,2023-11-08
C++ SOFTWARE ENGINEER,PROCOM,VARIOUS LOCATIONS,,,2023-10-04,2023-10-04
SR. SOFTWARE ENGINEER,MCAP,"WATERLOO, ON",97165.0,123032.0,2023-10-04,2023-11-22
.NET MOBILE DEVELOPER,SEMEX,"GUELPH, ON",81110.0,102704.0,2023-10-04,2023-10-18
ASSOCIATE PRODUCT SUPPORT SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",52799.0,66856.0,2023-10-04,2023-11-08
SENIOR SOFTWARE DEVELOPER,BROCK SOLUTIONS,"KITCHENER, ON",100193.0,126867.0,2023-10-04,2023-11-22
"SENIOR BACKEND ENGINEER, WEB3",RECRUITING FROM SCRATCH,"WATERLOO, ON",,,2023-10-04,2023-10-04
CNC PROGRAMMER,HÉROUX-DEVTEK INC.,"KITCHENER, ON",60055.0,76043.0,2023-10-04,2023-11-22
SOFTWARE ENGINEERING MANAGER,ONSEMI,"WATERLOO, ON",104090.0,131801.0,2023-10-04,2023-11-08
PROJECT MANAGER,ONTARIO HEALTH,VARIOUS LOCATIONS,96287.0,121921.0,2023-10-04,2023-11-08
SENIOR SOFTWARE ENGINEER,CARTA,"WATERLOO, ON",104700.0,132574.0,2023-10-04,2023-11-22
SENIOR SOFTWARE ENGINEER (JAVA/KAFKA),SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-11
FPGA DEVELOPER,CHRISTIE DIGITAL,"KITCHENER, ON",82097.0,103953.0,2023-10-04,2023-11-01
C++ DEVELOPER - LOW LEVEL - CANADA,GTS,"KITCHENER, ON",90620.0,114745.0,2023-10-04,2023-10-18
SAGE PEOPLE SOFTWARE DEVELOPER - CONTRACT,COMPUGEN INC,VARIOUS LOCATIONS,,,2023-10-04,2023-10-25
STAFF MACHINE LEARNING DEVELOPER,FULLSTORY,"WATERLOO, ON",101315.0,128287.0,2023-10-04,2023-11-22
BUILD SYSTEM DEVELOPER,MAXON COMPUTER,"WATERLOO, ON",84898.0,107499.0,2023-10-04,2023-11-08
"SENIOR SOFTWARE DEVELOPER, NETWORKS, GOOGLE CLOUD BUSINESS PLATFORMS",GOOGLE,"WATERLOO, ON",,,2023-10-04,2023-10-25
ENGINEERING COMMUNICATIONS EDUCATION DEVELOPER,UNIVERSITY OF WATERLOO,"WATERLOO, ON",74452.0,94273.0,2023-10-04,2023-10-25
NETWORK ENGINEER - IT & CLOUD INFRASTRUCTURE,SIEMENS,"KITCHENER, ON",67724.0,85754.0,2023-10-04,2023-11-22
CNC MILL PROGRAMMER/MACHINIST,NOVY MANUFACTURING INC.,"WATERLOO, ON",,,2023-10-04,2023-11-15
SENIOR SOFTWARE DEVELOPER (C#/C++),VIRTEK VISION,"WATERLOO, ON",104207.0,131950.0,2023-10-04,2023-10-11
WEB APPLICATION DEVELOPER,FIVEWALLS,"WATERLOO, ON",67100.0,84964.0,2023-10-04,2023-11-22
FULL STACK ENGINEER,JUST PLAY SPORTS SOLUTIONS LLC,"KITCHENER, ON",85716.0,108535.0,2023-10-04,2023-11-22
LEARNING AND DEVELOPMENT SPECIALISTS - LEADERSHIP DEVELOPMENT,UNIVERSITY OF WATERLOO,"WATERLOO, ON",72011.0,91182.0,2023-10-04,2023-10-04
SOFTWARE ENGINEER - DESIGN VERIFICATION,FORD MOTOR COMPANY,"WATERLOO, ON",85527.0,108296.0,2023-10-04,2023-10-11
IT/ SOFTWARE DEVELOPMENT TECHNOLOGY CONSULTANT FOR TAX INCENTIVES,KPMG,"WATERLOO, ON",57375.0,72650.0,2023-10-04,2023-11-22
JAVA WEBOBJECTS WEB DEVELOPER,LIFELEARN,"GUELPH, ON",86595.0,109648.0,2023-10-04,2023-10-11
EDUCATIONAL DEVELOPER,UNIVERSITY OF WATERLOO,"WATERLOO, ON",79048.0,100092.0,2023-10-04,2023-10-11
CNC PROGRAMMER,ARTCO,"KITCHENER, ON",40790.0,51650.0,2023-10-04,2023-11-22
SOFTWARE ENGINEER - FULL STACK,MCAP,"WATERLOO, ON",88820.0,112466.0,2023-10-04,2023-11-22
SENIOR SOFTWARE DEVELOPER,D2L,"KITCHENER, ON",105533.0,133629.0,2023-10-04,2023-11-22
SENIOR SOFTWARE DEVELOPER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",119813.0,151711.0,2023-10-04,2023-11-08
FULL STACK DEVELOPER,PLANITAR INC.,"WATERLOO, ON",84743.0,107304.0,2023-10-04,2023-11-01
SENIOR SOFTWARE DEVELOPER - QUANTUM COMPILER/TRANSPILER,ANYON SYSTEMS INC.,"WATERLOO, ON",95899.0,121430.0,2023-10-04,2023-11-22
C/C++ SOFTWARE DEVELOPER,BICDROID INC.,"WATERLOO, ON",84611.0,107136.0,2023-10-04,2023-11-22
SOFTWARE DEPLOYMENT ENGINEER,BROCK SOLUTIONS,"KITCHENER, ON",75889.0,96093.0,2023-10-04,2023-11-08
SENIOR SOFTWARE ENGINEER,NCR,"WATERLOO, ON",100064.0,126704.0,2023-10-04,2023-11-22
STAFF DEVOPS ENGINEER,MAPPEDIN,"KITCHENER, ON",75992.0,96223.0,2023-10-04,2023-10-11
SOFTWARE ENGINEER,BICDROID INC.,"WATERLOO, ON",75103.0,95098.0,2023-10-04,2023-11-22
SENIOR SOFTWARE ENGINEER,SUN LIFE,"WATERLOO, ON",,,2023-10-04,2023-10-18
VULKAN GRAPHICS ENGINEER - GLOBAL REMOTE,COREAVI,"WATERLOO, ON",99086.0,125465.0,2023-10-04,2023-11-22
INTERMEDIATE C++ SOFTWARE DEVELOPER – INTEGRATED MEDIA BLOCK,CHRISTIE DIGITAL,"KITCHENER, ON",87719.0,111071.0,2023-10-04,2023-11-01
"PRODUCT DEVELOPER, SOFTWARE - ADVANCED RESEARCH",CHRISTIE DIGITAL,"KITCHENER, ON",78402.0,99275.0,2023-10-04,2023-11-22
IT SOFTWARE DEVELOPER - (SALESFORCE),OPEN TEXT CORPORATION,"WATERLOO, ON",92295.0,116867.0,2023-10-04,2023-11-15
SR. SOFTWARE DEVELOPER,OPENTEXT,"WATERLOO, ON",95129.0,120454.0,2023-10-04,2023-11-08
IT SOFTWARE DEVELOPER - (SALESFORCE),OPENTEXT,"WATERLOO, ON",92295.0,116867.0,2023-10-04,2023-11-15
MACHINE LEARNING ENGINEER,EQUITABLE LIFE OF CANADA,"WATERLOO, ON",79985.0,101279.0,2023-10-04,2023-10-11
SENIOR SOFTWARE DEVELOPER,GEOTAB,"WATERLOO, ON",93651.0,118584.0,2023-10-04,2023-11-22
FULLSTACK SENIOR SOFTWARE DEVELOPER,GEOTAB,"WATERLOO, ON",89815.0,113725.0,2023-10-04,2023-11-22
"SENIOR STAFF SOFTWARE DEVELOPER, PRECISION HEALTH PLATFORM",VERILY,"WATERLOO, ON",110286.0,139646.0,2023-10-04,2023-11-22
PRINCIPAL CLOUD ENGINEER,BMO FINANCIAL GROUP,VARIOUS LOCATIONS,112974.0,143051.0,2023-10-04,2023-10-25
"LEAD TECHNOLOGY SPECIALIST, DIGITAL DEVELOPER",EQUITABLE LIFE OF CANADA,"WATERLOO, ON",100782.0,127613.0,2023-10-04,2023-10-25
JR. WEB DEVELOPMENT TRAINING & INTERNSHIP,PREPR,"GUELPH, ON",,,2023-10-04,2023-10-11
CONTROL SYSTEMS DEVELOPER (B&R AUTOMATION SPECIALIST),ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",69842.0,88436.0,2023-10-11,2023-11-22
"LEAD SOFTWARE ENGINEER, OPERATIONS",SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-10-11,2023-10-18
SENIOR BUSINESS INTELLIGENCE (BI) DEVELOPER - MICROSTRATEGY,PROCOM,VARIOUS LOCATIONS,,,2023-10-11,2023-10-11
"DIRECTOR, GLOBAL TALENT OPERATIONS",OPEN TEXT CORPORATION,"WATERLOO, ON",114784.0,145342.0,2023-10-11,2023-10-11
23-101 FULL STACK DEVELOPER,RAISE,VARIOUS LOCATIONS,88707.0,112323.0,2023-10-11,2023-11-08
COMPUTER NUMERICAL CONTROL (CNC) PROGRAMMER,HEROUX DEVTEK,"KITCHENER, ON",70000.0,85000.0,2023-10-11,2023-11-22
"SENIOR SOFTWARE DEVELOPER, GOOGLE CLOUD COMPUTE",GOOGLE,"KITCHENER, ON",,,2023-10-11,2023-11-01
"SENIOR SOFTWARE ENGINEER, RIPPLENET PAYMENTS",RIPPLE LABS,"KITCHENER, ON",114519.0,145006.0,2023-10-11,2023-11-22
"STAFF SOFTWARE ENGINEER, WORKSPACE ABUSE AND SAFETY PROTECTIONS",GOOGLE,"WATERLOO, ON",,,2023-10-11,2023-11-15
SENIOR JAVA DEVELOPER,DESCARTES,"WATERLOO, ON",88394.0,111926.0,2023-10-11,2023-11-08
SOFTWARE ENGINEERING MANAGER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",97356.0,123275.0,2023-10-11,2023-11-22
SOFTWARE DEVELOPER,TITANIUM AGENCY INC,"WATERLOO, ON",,,2023-10-11,2023-10-25
CLOUD PLATFORM ENGINEER,MANULIFE,"WATERLOO, ON",86965.0,110118.0,2023-10-11,2023-10-18
QUANTUM NAVIGATION SOFTWARE ENGINEER,QUANTUM VALLEY IDEAS LAB,"WATERLOO, ON",70000.0,85000.0,2023-10-11,2023-11-08
STAFF SOFTWARE DEVELOPER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",105998.0,134217.0,2023-10-11,2023-11-22
SENIOR SOFTWARE DEVELOPER (DELPHI),DESCARTES,"WATERLOO, ON",117005.0,148155.0,2023-10-11,2023-10-25
"PRODUCT MANAGER, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-11,2023-10-11
"SENIOR SOFTWARE ENGINEER - RISK CONTROLS, HEALTH",CASH APP,"WATERLOO, ON",141237.0,178838.0,2023-10-11,2023-11-22
SR. APPLICATION DEVELOPER,THE JUDGE GROUP,"ELMIRA, ON",,,2023-10-11,2023-11-01
TEST AUTOMATION DEVELOPER - WINTER 2024 CO-OP/INTERN,DEFINITY FINANCIAL CORPORATION,"KITCHENER, ON",60630.0,76771.0,2023-10-11,2023-10-11
SENIOR SOFTWARE ENGINEER IOS,IMS,"WATERLOO, ON",98908.0,125240.0,2023-10-11,2023-11-22
"DIRECTOR, GLOBAL TALENT OPERATIONS",OPENTEXT,"WATERLOO, ON",114784.0,145342.0,2023-10-11,2023-10-11
PLC PROGRAMMER/SYSTEMS INTEGRATOR,TRITED INNOVATION INC-ONTARIO,"KITCHENER, ON",55976.0,70878.0,2023-10-11,2023-11-22
AUTOMATION ENGINEER,NFINITE NANOTECH,"KITCHENER, ON",70000.0,80000.0,2023-10-11,2023-10-18
SENIOR IT TECHNOLOGY RISK ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",82924.0,105000.0,2023-10-18,2023-11-08
CLOUD DEVOPS ENGINEER/ARCHITECT,PROCOM,VARIOUS LOCATIONS,,,2023-10-18,2023-10-18
SENIOR SOFTWARE SECURITY RESEARCHER,OPEN TEXT CORPORATION,"WATERLOO, ON",99008.0,125366.0,2023-10-18,2023-11-22
INTERMEDIATE CONTROL SYSTEMS SOFTWARE DESIGNER,ATS AUTOMATION TOOLING SYSTEMS,"CAMBRIDGE, ON",62955.0,79715.0,2023-10-18,2023-11-22
CNC PROGRAMMER/SETTER/CAMWORKS,TRITED INNOVATION INC-CAMBRIDGE - ONTARIO,"GUELPH, ON",45760.0,,2023-10-18,2023-10-18
"PROGRAM MANAGER, CORPORATE GIVING",OPENTEXT,"WATERLOO, ON",87827.0,111209.0,2023-10-18,2023-11-01
SENIOR SOFTWARE SECURITY RESEARCHER,OPENTEXT,"WATERLOO, ON",99008.0,125366.0,2023-10-18,2023-11-22
OPERATIONS ANALYST,MAGNET FORENSICS,"WATERLOO, ON",54010.0,68389.0,2023-10-18,2023-10-25
STAFF PERCEPTION DEVELOPER - LOCALIZATION AND MAPPING,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",99096.0,125478.0,2023-10-18,2023-11-22
SENIOR IT TECHNOLOGY RISK ANALYST,OPENTEXT,"WATERLOO, ON",82924.0,105000.0,2023-10-18,2023-11-08
COLLECTIONS SPECIALIST (ESCALATIONS),OPEN TEXT CORPORATION,"WATERLOO, ON",59261.0,75038.0,2023-10-18,2023-11-22
"INTERMEDIATE TECHNOLOGY SPECIALIST, DIGITAL DEVELOPER",EQUITABLE LIFE OF CANADA,"WATERLOO, ON",85229.0,107919.0,2023-10-18,2023-10-25
SENIOR INDUSTRIAL SIMULATION DEVELOPER,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",87699.0,111046.0,2023-10-18,2023-11-22
PROGRAM DIRECTOR,OPENTEXT,"WATERLOO, ON",79244.0,100341.0,2023-10-18,2023-10-25
SENIOR SOFTWARE QUALITY ENGINEER – SAP BW (SAP BUSINESS WAREHOUSE),SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-10-18,2023-10-25
"DIRECTOR, BILLING OPERATIONS",OPEN TEXT CORPORATION,"WATERLOO, ON",92894.0,117624.0,2023-10-18,2023-11-22
LEAD REVENUE OPERATIONS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",77286.0,97861.0,2023-10-18,2023-10-18
LEAD REVENUE OPERATIONS ANALYST,OPENTEXT,"WATERLOO, ON",77286.0,97861.0,2023-10-18,2023-10-18
"PROGRAM MANAGER, CORPORATE GIVING",OPEN TEXT CORPORATION,"WATERLOO, ON",87827.0,111209.0,2023-10-18,2023-11-01
"DIRECTOR, BILLING OPERATIONS",OPENTEXT,"WATERLOO, ON",92894.0,117624.0,2023-10-18,2023-11-22
BILINGUAL CUSTOMER SUPPORT REPRESENTATIVE - (FRENCH),OPENTEXT,"WATERLOO, ON",39896.0,50517.0,2023-10-18,2023-11-01
BILINGUAL CUSTOMER SUPPORT REPRESENTATIVE - (FRENCH),OPEN TEXT CORPORATION,"WATERLOO, ON",39896.0,50517.0,2023-10-18,2023-11-01
SENIOR PERCEPTION DEVELOPER - CALIBRATION AND SENSORS,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",99139.0,125532.0,2023-10-18,2023-11-01
CLOUD AUTOMATION TOOLS ENGINEER/ARCHITECT - RHEL 8.X / 9.X & WINDOWS 2019 & 202,PROCOM,VARIOUS LOCATIONS,,,2023-10-18,2023-10-18
JR00087402 SENIOR SOFTWARE ENGINEER (.NET/ POWERSHELL),SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-10-18,2023-11-01
PERCEPTION TEAM LEAD - LOCALIZATION AND MAPPING,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",96237.0,121857.0,2023-10-18,2023-11-22
COLLECTIONS SPECIALIST (ESCALATIONS),OPENTEXT,"WATERLOO, ON",59261.0,75038.0,2023-10-18,2023-11-22
SR. SYSTEMS ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",87250.0,110478.0,2023-10-18,2023-11-22
SR. SYSTEMS ADMINISTRATOR,OPENTEXT,"WATERLOO, ON",87250.0,110478.0,2023-10-18,2023-11-22
PROGRAM DIRECTOR,OPEN TEXT CORPORATION,"WATERLOO, ON",79244.0,100341.0,2023-10-18,2023-10-25
"SENIOR STAFF SOFTWARE SPECIALIST, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-10-18
EMBEDDED SOFTWARE ENGINEER,LINAMAR CORP,"GUELPH, ON",78608.0,99536.0,2023-10-18,2023-10-25
"SENIOR TECHNOLOGY SPECIALIST, DIGITAL DEVELOPER",EQUITABLE LIFE OF CANADA,"WATERLOO, ON",88457.0,112007.0,2023-10-18,2023-10-25
SENIOR SOFTWARE DEVELOPER,DEJERO LABS INC.,"WATERLOO, ON",99018.0,125379.0,2023-10-18,2023-11-22
"SOFTWARE DEVELOPER III, INFRASTRUCTURE, GOOGLE CLOUD DATA MANAGEMENT",GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-10-18
SOFTWARE ENGINEER II,SANDVINE,"WATERLOO, ON",99767.0,126327.0,2023-10-18,2023-11-01
SOFTWARE DEVELOPER,GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-11-08
SOFTWARE DEVELOPER,ACEIT DIGITAL INC.,"CALGARY, AB",81120.0,81120.0,2023-10-18,2023-11-22
SOFTWARE DEVELOPER,"CLIFYX, INC",VARIOUS LOCATIONS,,,2023-10-18,2023-11-08
"SOFTWARE DEVELOPER II, SITE RELIABILITY DEVELOPMENT, GOOGLE CLOUD",GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-10-18
SOFTWARE TEST ENGINEER,LINAMAR CORP,"GUELPH, ON",78451.0,99336.0,2023-10-18,2023-10-25
SOFTWARE TEST DEVELOPER,D2L,"KITCHENER, ON",85933.0,108810.0,2023-10-18,2023-11-22
"SOFTWARE DEVELOPER III, GOOGLE CLOUD PLATFORM AI AND INDUSTRY SOLUTIONS",GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-10-18
"SOFTWARE DEVELOPER III, GOOGLE CLOUD DATA MANAGEMENT",GOOGLE,"WATERLOO, ON",,,2023-10-18,2023-11-01
AUTOMATION ENGINEER,LINAMAR CORP,"GUELPH, ON",63807.0,80794.0,2023-10-18,2023-11-01
SENIOR SIMULATION DEVELOPER,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",94378.0,119504.0,2023-10-18,2023-11-22
SOFTWARE ENGINEER,MAXSYS STAFFING & CONSULTING,"WATERLOO, ON",149760.0,149760.0,2023-10-18,2023-10-18
STAFF SOFTWARE DEVELOPER (FLEET MANAGER),OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",110029.0,139321.0,2023-10-18,2023-11-01
SENIOR DEVOPS DEVELOPER,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",106499.0,134851.0,2023-10-18,2023-10-18
STAFF DEVOPS DEVELOPER,MAPPEDIN,"KITCHENER, ON",73268.0,92774.0,2023-10-18,2023-11-22
REMOTE - DELTA V PROGRAMMER/ENGINEER,CAC STAFFING,VARIOUS LOCATIONS,145600.0,,2023-10-18,2023-10-18
"ANDROID KOTLIN DEVELOPER - WATERLOO, CANADA",FORHYRE,"WATERLOO, ON",64563.0,81751.0,2023-10-18,2023-11-22
"SR. MANAGER, WORKPLACE SECURITY",OPENTEXT,"WATERLOO, ON",93050.0,117823.0,2023-10-25,2023-11-22
SENIOR SOFTWARE RESEARCHER,OPEN TEXT CORPORATION,"WATERLOO, ON",82528.0,104499.0,2023-10-25,2023-11-22
"SR. MANAGER, WORKPLACE SECURITY",OPEN TEXT CORPORATION,"WATERLOO, ON",91312.0,115622.0,2023-10-25,2023-11-22
"ASSOCIATE DIRECTOR, DATA ANALYTICS AND DEVELOPMENT",UNIVERSITY OF WATERLOO,"WATERLOO, ON",88417.0,111956.0,2023-10-25,2023-11-22
CLOUD SYSTEMS ADMINISTRATOR,OPENTEXT,"WATERLOO, ON",76714.0,97137.0,2023-10-25,2023-11-01
SR. CLOUD ENGINEER,HUXLEY,"WATERLOO, ON",95089.0,120404.0,2023-10-25,2023-11-22
LEAD AEM SOFTWARE ENGINEER,SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-10-25,2023-11-08
LEAD FINANCIAL ANALYST,OPENTEXT,"WATERLOO, ON",74256.0,94024.0,2023-10-25,2023-11-22
LEAD FINANCIAL ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",74256.0,94024.0,2023-10-25,2023-11-22
TECHNICAL SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",52041.0,65896.0,2023-10-25,2023-11-22
SOLUTIONS DEVELOPER,CHALLENGER MOTOR FREIGHT INC,"CAMBRIDGE, ON",69588.0,88114.0,2023-10-25,2023-10-25
"VP, CORPORATE TECHNOLOGY",OPEN TEXT CORPORATION,"WATERLOO, ON",81059.0,102639.0,2023-10-25,2023-10-25
LEAD SECURITY COMPLIANCE ANALYST - COMPLIANCE STRATEGY,OPEN TEXT CORPORATION,"WATERLOO, ON",79794.0,101037.0,2023-10-25,2023-11-22
SENIOR CONTROL SOFTWARE ENGINEER,CANADIAN SOLAR,"GUELPH, ON",111394.0,141050.0,2023-10-25,2023-11-22
SR. TECHNICAL SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",60453.0,76547.0,2023-10-25,2023-11-08
LEAD ACCOUNTANT (CONTRACTOR),OPENTEXT,"WATERLOO, ON",72508.0,91811.0,2023-10-25,2023-11-22
BENEFITS PROGRAM MANAGER,OPEN TEXT CORPORATION,"WATERLOO, ON",89735.0,113625.0,2023-10-25,2023-10-25
LEAD ACCOUNTANT (CONTRACTOR),OPEN TEXT CORPORATION,"WATERLOO, ON",72508.0,91811.0,2023-10-25,2023-11-22
CLIENT MANAGER - PROFESSIONAL SERVICES SALES 1 1,OPENTEXT,"WATERLOO, ON",80717.0,102206.0,2023-10-25,2023-11-01
CLOUD ENGINEER (AWS),SUN LIFE,"WATERLOO, ON",61000.0,101000.0,2023-10-25,2023-10-25
SR. TECHNICAL SUPPORT SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",60453.0,76547.0,2023-10-25,2023-11-08
SR. PROGRAM MANAGER (CONTRACTS),OPENTEXT,"WATERLOO, ON",69487.0,87986.0,2023-10-25,2023-11-22
CLIENT MANAGER - PROFESSIONAL SERVICES SALES 1 1,OPEN TEXT CORPORATION,"WATERLOO, ON",80717.0,102206.0,2023-10-25,2023-11-01
BENEFITS PROGRAM MANAGER,OPENTEXT,"WATERLOO, ON",89735.0,113625.0,2023-10-25,2023-10-25
SR. PROGRAM MANAGER (CONTRACTS),OPEN TEXT CORPORATION,"WATERLOO, ON",69487.0,87986.0,2023-10-25,2023-11-22
SENIOR SOFTWARE RESEARCHER,OPENTEXT,"WATERLOO, ON",82528.0,104499.0,2023-10-25,2023-11-22
CLOUD SYSTEMS ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",76714.0,97137.0,2023-10-25,2023-11-01
BUSINESS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",73381.0,92917.0,2023-10-25,2023-11-08
.NET SOFTWARE DEVELOPER,ISB GLOBAL SERVICES,"GUELPH, ON",96837.0,122617.0,2023-10-25,2023-11-22
FULL STACK ENGINEER,ENERZA,"WATERLOO, ON",81053.0,102632.0,2023-10-25,2023-11-22
"STAFF SOFTWARE ENGINEER, APPDEV",SIEMENS,"KITCHENER, ON",107458.0,136065.0,2023-10-25,2023-10-25
JAVA DEVELOPER (BACKEND),PROSPECT,"KITCHENER, ON",105798.0,133965.0,2023-10-25,2023-11-22
TECHNICAL SUPPORT SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",52041.0,65896.0,2023-10-25,2023-11-22
BACK-END SOFTWARE ENGINEER,MANULIFE,"WATERLOO, ON",101964.0,129109.0,2023-10-25,2023-10-25
SOFTWARE DEVELOPER,RICOH CANADA,"KITCHENER, ON",84461.0,106946.0,2023-10-25,2023-11-22
SOFTWARE ENGINEER,NAVBLUE INC,"WATERLOO, ON",70000.0,110000.0,2023-10-25,2023-11-22
"APPLICATION SUPPORT ENGINEER, CLOUD",SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-10-25,2023-11-08
INNOVATION ARCHITECT,OPEN TEXT CORPORATION,"WATERLOO, ON",71719.0,90812.0,2023-10-25,2023-11-22
BUSINESS ANALYST,OPENTEXT,"WATERLOO, ON",73381.0,92917.0,2023-10-25,2023-11-08
PRINCIPAL FIRMWARE DEVELOPER,ONSEMI,"WATERLOO, ON",68902.0,87245.0,2023-10-25,2023-10-25
DEVOPS ENGINEER,PALITRONICA INC.,"WATERLOO, ON",97397.0,123327.0,2023-10-25,2023-11-22
AUTOMATION ENGINEER,NFINITE NANOTECH,"WATERLOO, ON",75456.0,95544.0,2023-10-25,2023-11-22
INNOVATION ARCHITECT,OPENTEXT,"WATERLOO, ON",71719.0,90812.0,2023-10-25,2023-11-22
PRODUCTION SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",53157.0,67309.0,2023-10-25,2023-11-22
SENIOR SOFTWARE DEVELOPER - FULL STACK,CAMIS,"GUELPH, ON",85263.0,107962.0,2023-10-25,2023-11-01
PRODUCTION SUPPORT SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",53157.0,67309.0,2023-10-25,2023-11-22
SENIOR DOTNET DEVELOPER,AG ENERGY CO-OPERATIVE LTD.,"GUELPH, ON",102924.0,130324.0,2023-10-25,2023-11-22
CONTROLS PROGRAMMER (LEAD),PRIME AUTOMATION INC,"WATERLOO, ON",,,2023-10-25,2023-11-22
WORDPRESS DEVELOPER,RKD WEB STUDIOS,"GUELPH, ON",64142.0,81218.0,2023-10-25,2023-11-08
"VP, ENTERPRISE ARCHITECTURE",OPEN TEXT CORPORATION,"WATERLOO, ON",81059.0,102639.0,2023-11-01,2023-11-22
HEAD OF SOFTWARE DEVELOPMENT,GHD,"WATERLOO, ON",133598.0,169165.0,2023-11-01,2023-11-22
SR. PRODUCT MANAGER,OPEN TEXT CORPORATION,"WATERLOO, ON",110674.0,140139.0,2023-11-01,2023-11-22
"SENIOR TECHNOLOGY SPECIALIST, DIGITAL DEVELOPER",EQUITABLE,"WATERLOO, ON",88457.0,112007.0,2023-11-01,2023-11-22
SR. PRODUCT MANAGER,OPENTEXT,"WATERLOO, ON",110674.0,140139.0,2023-11-01,2023-11-22
SR. PRODUCTION SUPPORT SPECIALIST,OPENTEXT,"WATERLOO, ON",67062.0,84916.0,2023-11-01,2023-11-22
SENIOR SOFTWARE ENGINEER - ARCHER (CONTRACT),SUN LIFE,"WATERLOO, ON",82000.0,135000.0,2023-11-01,2023-11-22
JR. FULL STACK DEVELOPMENT TRAINING & PAID INTERNSHIP,PREPR,"GUELPH, ON",,,2023-11-01,2023-11-01
CLOUD ENGINEER - AWS,PROCOM,VARIOUS LOCATIONS,,,2023-11-01,2023-11-01
SENIOR CONTROLS SOFTWARE DEVELOPER,OTTO MOTORS BY ROCKWELL AUTOMATION,"KITCHENER, ON",87859.0,111249.0,2023-11-01,2023-11-22
SQL DATABASE ADMINISTRATOR(INTERMEDIATE EXPERIENCED),OPEN TEXT CORPORATION,"WATERLOO, ON",93137.0,117932.0,2023-11-01,2023-11-22
"DIRECTOR, PRODUCT MARKETING",OPENTEXT,"WATERLOO, ON",104966.0,132911.0,2023-11-01,2023-11-08
SQL DATABASE ADMINISTRATOR(INTERMEDIATE EXPERIENCED),OPENTEXT,"WATERLOO, ON",93137.0,117932.0,2023-11-01,2023-11-22
